"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"89","MSB:Fish:4174",1977,8,4,"MSB 4174-3","JAR11760F","BP","JG","08-01-2025",NA,40,32,646,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"90","MSB:Fish:4174",1977,8,4,"MSB 4174-4","JAR11757F","EO","EO","08-01-2025","F",36,28,435,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"91","MSB:Fish:4174",1977,8,4,"MSB 4174-2","JAR11765F","BP","BP","08-01-2025","F",37,29,419,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"92","MSB:Fish:43375",1999,8,25,"MSB 43375-4","JAR11727F","EO","GC","07-31-2025",NA,47,37,879,"impact","impact_1991-2000",35.089293,-106.680842,"trem.meta",0
"93","MSB:Fish:43375",1999,8,25,"MSB 43375-3","JAR11736F","JG","JG","07-31-2025",NA,43,34,758,"impact","impact_1991-2000",35.089293,-106.680842,"trem.meta",0
"94","MSB:Fish:43375",1999,8,25,"MSB 43375-2","JAR11733F","EO","EO","07-31-2025",NA,45,36,861,"impact","impact_1991-2000",35.089293,-106.680842,"trem.meta",0
"95","MSB:Fish:43375",1999,8,25,"MSB 43375-1","JAR11735F","JG","GC","07-31-2025",NA,51,40,1203,"impact","impact_1991-2000",35.089293,-106.680842,"trem.meta",0
"96","MSB:Fish:43375",1999,8,25,"MSB 43375-5","JAR11730F","JG","CLW","07-31-2025",NA,36,28,454,"impact","impact_1991-2000",35.089293,-106.680842,"trem.meta",0
"97","MSB:Fish:4391",1978,8,16,"MSB 4391-2","JAR11778F","EO","CW","08-04-2025",NA,39,32,525,"impact","impact_1971-1980",34.986117,-106.686021,"trem.meta",0
"98","MSB:Fish:4391",1978,8,16,"MSB 4391-3","JAR11784F","BP","CW","08-04-2025",NA,39,31,520,"impact","impact_1971-1980",34.986117,-106.686021,"trem.meta",0
"99","MSB:Fish:4391",1978,8,16,"MSB 4391-5","JAR11775F","BP","JG","08-04-2025","F",43,34,795,"impact","impact_1971-1980",34.986117,-106.686021,"trem.meta",0
"100","MSB:Fish:4391",1978,8,16,"MSB 4391-4","JAR11781F","EO","EO","08-04-2025",NA,42,34,729,"impact","impact_1971-1980",34.986117,-106.686021,"trem.meta",0
"101","MSB:Fish:4391",1978,8,16,"MSB 4391-1","JAR11783F","BP","JG","08-04-2025",NA,43,35,816,"impact","impact_1971-1980",34.986117,-106.686021,"trem.meta",0
"102","MSB:Fish:4781",1977,8,4,"MSB 4781-3","JAR11851F","EO","EO","08-11-2025",NA,32,27,313,"impact","impact_1971-1980",35.133568,-106.693327,"trem.meta",0
"103","MSB:Fish:4781",1977,8,4,"MSB 4781-5","JAR11868F","EO","EO","08-11-2025","F",32,26,279,"impact","impact_1971-1980",35.133568,-106.693327,"trem.meta",0
"104","MSB:Fish:4781",1977,8,4,"MSB 4781-2","JAR11848F","EO","EO","08-11-2025",NA,43,34,764,"impact","impact_1971-1980",35.133568,-106.693327,"trem.meta",0
"105","MSB:Fish:4781",1977,8,4,"MSB 4781-1","JAR11845F","EO","CW","08-11-2025",NA,34,28,411,"impact","impact_1971-1980",35.133568,-106.693327,"trem.meta",0
"106","MSB:Fish:4781",1977,8,4,"MSB 4781-4","JAR11854F","BP","EO","08-11-2025","F",32,25,222,"impact","impact_1971-1980",35.133568,-106.693327,"trem.meta",0
"107","MSB:Fish:5007",1977,7,6,"MSB 5007-3","JAR11867F","EO","CW","08-11-2025",NA,32,25,304,"control","control_1971-1980",35.232431,-106.594272,"trem.meta",0
"108","MSB:Fish:5007",1977,7,6,"MSB 5007-5","JAR11864F","EO","CW","08-11-2025",NA,32,25,262,"control","control_1971-1980",35.232431,-106.594272,"trem.meta",0
"109","MSB:Fish:5007",1977,7,6,"MSB 5007-3","JAR11862F","EO","CW","08-11-2025",NA,34,27,338,"control","control_1971-1980",35.232431,-106.594272,"trem.meta",0
"110","MSB:Fish:5007",1977,7,6,"MSB 5007-1","JAR11859F","EO","JG","08-11-2025",NA,47,39,959,"control","control_1971-1980",35.232431,-106.594272,"trem.meta",0
"111","MSB:Fish:5007",1977,7,6,"MSB 5007-4","JAR11865F","EO","CW","08-11-2025",NA,35,29,379,"control","control_1971-1980",35.232431,-106.594272,"trem.meta",0
"112","MSB:Fish:5250",1986,7,13,"MSB 5250-4","JAR11817F","EO","CW","08-11-2025",NA,35,28,450,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"113","MSB:Fish:5250",1986,7,13,"MSB 5250-5","JAR11820F","BP","CW","08-11-2025",NA,33,26,334,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"114","MSB:Fish:5250",1986,7,13,"MSB 5250-3","JAR11822F","BP","CW","08-11-2025",NA,45,36,1024,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"115","MSB:Fish:5250",1986,7,13,"MSB 5250-1","JAR11821F","BP","EO","08-11-2025","F",48,39,1206,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"116","MSB:Fish:5250",1986,7,13,"MSB 5250-2","JAR11819F","BP","CW","08-11-2025",NA,51,43,1535,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"117","MSB:Fish:5806",1987,9,9,"MSB 5806-1","JAR11767F","EO","JG","08-01-2025",NA,50,41,1681,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"118","MSB:Fish:5806",1987,9,9,"MSB 5806-3","JAR11764F","EO","GC","08-01-2025",NA,37,30,562,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"119","MSB:Fish:5806",1987,9,9,"MSB 5806-2","JAR11770F","JG","GC","08-01-2025",NA,49,40,1490,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"120","MSB:Fish:5806",1987,9,9,"MSB 5806-5","JAR11761F","EO","EO","08-01-2025",NA,36,29,545,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"121","MSB:Fish:5806",1987,9,9,"MSB 5806-4","JAR11762F","JG","CW","08-01-2025",NA,41,33,704,"control","control_1981-1990",35.322164,-106.557448,"trem.meta",0
"122","MSB:Fish:5817",1987,9,10,"MSB 5817-1","JAR11774F","EO","CW","08-04-2025",NA,56,45,1611,"impact","impact_1981-1990",34.905272,-106.685564,"trem.meta",0
