"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","cope.imler","cope.lern","mono.dact","mono.gyro","myxo.b","nem.cl","nem.unk","trem.b","trem.d","trem.diplo","trem.dlum","trem.em","trem.fim","trem.gold","trem.l","trem.meta.unk","trem.ridge"
"90","MSB:Fish:30282",1996,5,16,"MSB 30282-4","JAR8658F","BP","JG KL","06-23-2025",FALSE,58,46,1814,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","MSB:Fish:30410",1996,6,28,"MSB 30410-2","JAR8742F","BP","CW","06-25-2025",FALSE,66,53,3676,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0
"92","MSB:Fish:30410",1996,6,28,"MSB 30410-3","JAR8740F","BP","KL","06-25-2025",FALSE,74,59,4025,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0
"93","MSB:Fish:30410",1996,6,28,"MSB 30410-5","JAR8743F","BP","BP CW ","06-25-2025",NA,69,58,2424,"impact","impact_1991-2000",34.85683333,-106.7208056,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3
"94","MSB:Fish:30410",1996,6,28,"MSB 30410-1","JAR8736F","BP","CLW","06-25-2025",FALSE,72,59,NA,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,3
"95","MSB:Fish:30410",1996,6,28,"MSB 30410-4","JAR8738F","JG","CLW","06-25-2025",FALSE,75,61,4376,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0
"96","MSB:Fish:30810",1996,2,7,"MSB 30810-3","JAR8737F","EO","KL","06-25-2026",FALSE,55,43,1306,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","MSB:Fish:30810",1996,2,7,"MSB 30810-2","JAR8735F","BP","JG KL","06-25-2025",FALSE,59,48,1673,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","MSB:Fish:30810",1996,2,7,"MSB 30810-4","JAR8739F","BP","CW","06-25-2026",NA,66,52,2148,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"99","MSB:Fish:30810",1996,2,7,"MSB 30910-1","JAR8734F","EO","CW","06-25-2025",NA,68,54,2437,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0
"100","MSB:Fish:30810",1996,2,7,"MSB 30810-5","JAR8741F","BP","CW","06-25-2025",NA,63,52,2142,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","MSB:Fish:39103",1997,10,15,"MSB 39103-1","JAR8670F","BP","JG KL","06-23-2025",NA,57,53,2560,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","MSB:Fish:39103",1997,10,15,"MSB 39103-3","JAR8675F","BP","KL","06-23-2025",NA,61,47,2132,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"103","MSB:Fish:39103",1997,10,15,"MSB 39103-5","JAR8678F","EO","CW","06-23-2025",NA,60,47,2006,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","MSB:Fish:39103",1997,10,15,"MSB 39103-4","JAR8676F","EO","EO CLW","06-23-2025",NA,69,54,3110,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","MSB:Fish:39103",1997,10,15,"MSB 39103-2","JAR8677F","JG","KL","06-23-2025",NA,69,56,3012,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"106","MSB:Fish:3966",1977,9,28,"MSB 3966-5","JAR8879F","JG","CW","07-02-2025",NA,51,41,1353,"impact","impact_1971-1980",35.134883,-106.690838,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"107","MSB:Fish:3966",1977,9,28,"MSB 3966-3","JAR8894F","JG","GC","07-02-2025",NA,50,39,1164,"impact","impact_1971-1980",35.134883,-106.690838,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
