"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","crus.d","crus.lersp","mono.gyrof","mono.salsp","mono.ss","trem.dips","trem.iz","trem.unk","nem.larv","nem.l","nem.myst","acanth.spk","cest.botsp","myxo.myxid","myxo.g"
"94","MSB:Fish:12531",1992,11,13,"MSB 12531-2","JAR11263F","EO","KL","07-11-2025",NA,34,27,414,"control","control_1991-2000",35.380486,-106.502059,0,0,0,0,6,0,0,0,0,0,0,0,0,"0",2
"95","MSB:Fish:12531",1992,11,13,"MSB 12531-3","JAR11264F","EO","KL","07-11-2025","F",35,28,445,"control","control_1991-2000",35.380486,-106.502059,0,0,0,0,10,0,0,0,0,0,0,0,0,"0",0
"96","MSB:Fish:14485",1993,7,13,"MSB 14485-1","JAR11128F","EO","GC","07-17-2025",NA,41,34,760,"impact","impact_1991-2000",34.929964,-106.681431,0,0,0,6,0,0,0,0,0,0,0,0,0,"0",0
"97","MSB:Fish:14485",1993,7,13,"MSB 14485-5","JAR11127F","JG","JG","07-17-2025",NA,24,20,116,"impact","impact_1991-2000",34.929964,-106.681431,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"98","MSB:Fish:14485",1993,7,13,"MSB 14485-4","JAR11129F","EO","GC","07-17-2025","F",30,23,247,"impact","impact_1991-2000",34.929964,-106.681431,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"99","MSB:Fish:14485",1993,7,13,"MSB 14485-3","JAR11557F","EO","KL","07-17-2025","F",37,29,520,"impact","impact_1991-2000",34.929964,-106.681431,0,0,0,10,0,0,0,0,0,0,0,0,0,"0",0
"100","MSB:Fish:14485",1993,7,13,"MSB 14485-2","JAR11130F","JG","GC","07-17-2025","F",43,35,751,"impact","impact_1991-2000",34.929964,-106.681431,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"101","MSB:Fish:18799",1993,8,12,"MSB 18799-5","JAR11578F","BP","KL","07-17-2025","F",30,23,274,"control","control_1991-2000",35.280904,-106.597587,0,0,0,2,10,0,0,0,0,0,0,0,0,"0",0
"102","MSB:Fish:18799",1993,8,12,"MSB 18799-2","JAR11582F","BP","KL","07-17-2025","F",31,25,375,"control","control_1991-2000",35.280904,-106.597587,0,0,0,4,0,0,0,0,0,0,0,0,0,NA,0
"103","MSB:Fish:18799",1993,8,12,"MSB 18799-4","JAR11579F","BP","GC","07-17-2025","F",32,26,344,"control","control_1991-2000",35.280904,-106.597587,0,0,0,0,6,0,0,0,0,0,0,0,0,"0",0
